G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
20,        .,    .,   .,   .,0.6,4.2,   .,36.9,0.9,12.2,0.3,   .
21,0,    .,   .,   .,1.5,2.4,   .,   .,  .,   .,5.2,   .
22,14.3,1,1.1,   .,0.9,    .,   .,2.1,  .,   .,34.2,   .
23,5.7,14.1,   .,   .,5.3,0.8,   .,   .,  .,   .,   .,   .
24,0,15.2,   .,   .,6.5,28.4,   .,   .,25.3,   .,   .,   .
25,        .,0.5,   .,1.9,   .,    .,   .,9.9,0.9,   .,   .,   .
26,        .,    .,40.3,0.1,0.4,    .,44.2,1.1,  .,   .,   .,   .
27,        .,    .,2.7,0.3,3.3,    .,0,   .,  .,   .,   .,   .
28,        .,    .,6.8,2,   .,3.1,1,   .,  .,   .,   .,   .
29,        .,,   .,12.4,   .,    .,0,   .,  .,11.4,   .,   .
30,37.5,,   .,   .,   .,    .,   .,   .,  .,19.6,   .,   .
31,16,,   .,,   .,,17.4,   .,,   .,,   .
2016,,,,,,,,,,,,
1,        .,    .,7.8,   .,1.4,    .,   .,8.1,  .,   .,   .,   .
2,        .,    .,12.8,   .,9.5,10.3,   .,2.6,  .,0.8,0,   .
3,32.8,1.2,0.3,   .,0,11.1,   .,   .,  .,20.7,13,   .
4,0.3,77.3,0.6,   .,0.6,    .,   .,   .,0,7.8,0.5,   .
5,7.7,    .,   .,   .,   .,    .,   .,   .,7.1,   .,2.7,2.3
6,14.7,    .,6.7,   .,0.1,0,   .,9,9.3,   .,74.4,0.2
7,12.5,    .,3.4,   .,   .,    .,   .,   .,0,   .,27.2,   .
8,        .,3.2,3.6,   .,1.2,    .,   .,   .,  .,   .,16.8,   .
9,55.3,18.2,1,9.4,   .,1.1,   .,   .,  .,0.3,0,   .
10,29.2,43.8,   .,1.3,   .,8.6,0,   .,0.4,2.6,1,   .
11,3.1,3.7,   .,   .,   .,0.1,   .,57.9,1.1,4.7,0,   .
12,3.6,10.3,0.4,   .,17.9,48.2,   .,   .,  .,   .,106.3,   .
13,        .,62.4,   .,   .,10.3,6.9,0.3,   .,  .,   .,   .,   .
14,        .,5.9,   .,   .,28.6,0.1,15.8,   .,  .,3.2,   .,   .
15,16.6,31.8,   .,0.7,25.9,45,0,   .,0,18.2,   .,   .
16,3.6,21.4,   .,   .,0.3,0.3,0,   .,0.1,42.5,   .,   .
17,        .,5.1,   .,   .,   .,8.1,0,2.4,90.4,   .,   .,   .
18,        .,2.8,   .,0.5,   .,0,   .,3.9,36,0,9.6,   .
19,        .,18.4,   .,0.1,0.1,    .,   .,0.5,3.3,23.9,80.1,   .
20,        .,33.7,   .,0,9.6,8.1,   .,0.7,10.2,66.2,27.2,   .
